ファクター名,id,対象件数,train件数,holdout件数,train_ROI,holdout_ROI,全期間ROI,改善幅_holdout_vs_OLD,再現性,判定,理由
本番旧（基準）,OLD,416,263,153,-43.42,-70.39,-53.34,0.00,基準,基準,ガウスSIM・追加特徴OFF。本番はこのまま固定
現行新（段階SIM+詳細特徴）,NEW,417,264,153,-40.53,-58.56,-47.15,11.83,点推定のみ・CI未達,不採用,holdout点推定は+11.83ppだが90%CIが0を跨ぐ。NEWを本番へ切り替えない
差し×内枠較正,SASHI_INNER,418,265,153,-39.70,-64.38,-48.73,6.01,再SIMでholdout再現せず,不採用,診断スライスの見かけ改善が再SIMで再現しない
12-20倍×内枠較正,ODDS_INNER,417,264,153,-45.08,-58.56,-50.02,11.83,再SIMでholdout再現せず,不採用,trainがOLDより悪化。較正として不採用
差し×5-8倍×中枠較正,SASHI_SWEET,418,265,153,-42.64,-59.61,-48.85,10.78,再SIMでholdout再現せず,不採用,点推定はプラスでも再現性なし
旧+未使用特徴すべて,X,418,265,153,-37.17,-71.57,-49.76,-1.18,holdout悪化,不採用,trainのみ改善
斤量,BURDEN,417,264,153,-38.48,-82.55,-54.65,-12.16,holdout悪化,不採用,train改善・holdout大幅悪化
枠×馬場,GATE,415,262,153,-46.79,-81.18,-59.47,-10.79,holdout悪化,不採用,内枠込みの枠特徴はholdout悪化
馬体重増減,WEIGHT,417,264,153,-39.32,-72.94,-51.65,-2.55,trainのみ,不採用,trainだけ改善してholdoutで崩れる
騎手複勝,JOCKEY,417,264,153,-32.54,-74.38,-47.89,-3.99,trainのみ,不採用,train+10.88ppだがholdout悪化
休み明け,LAYOFF,417,264,153,-32.65,-67.19,-45.32,3.20,CI未達,不採用,点推定プラスでも採用基準未達
脚質×頭数,STYLE,417,264,153,-37.39,-67.19,-48.32,3.20,CI未達,不採用,点推定プラスでも採用基準未達
頭数実績,FIELD,417,264,153,-40.80,-67.19,-50.48,3.20,CI未達,不採用,点推定プラスでも採用基準未達
train勝者の合成,XSEL,416,263,153,-25.93,-78.69,-45.34,-8.30,train過学習,不採用,train+17.49pp・holdout悪化
タイム,TIME,417,264,153,-42.31,-70.07,-52.49,0.32,ノイズ域・接合14.5%,不採用,holdout+0.32ppはノイズ。本命と履歴の接合約15%
着差,MARGIN,417,264,153,-42.31,-70.07,-52.49,0.32,ノイズ域・接合13.3%,不採用,タイムと同型
馬場,TRACK,417,264,153,-42.31,-67.19,-51.44,3.20,CI未達・接合14.5%,不採用,点推定プラスだがCIが0を跨ぐ。再探索しない
距離/コース,COURSE,416,263,153,-32.66,-70.07,-46.42,0.32,ノイズ域・接合14.5%,不採用,trainは大きいがholdoutはノイズ
過去走6-8,HISTORY,416,263,153,-29.70,-66.99,-43.41,3.40,CI未達・接合12.9%,不採用,点推定プラスだがCIが0を跨ぐ。再探索しない
改善案A:距離/コースのみ,PRESET_A,418,265,153,-49.70,-63.73,-54.83,6.66,train非優位,不採用,train ROIがOLDより悪い
改善案B:新SIM・詳細加点なし,PRESET_B,418,265,153,-48.38,-63.73,-54.00,6.66,train非優位,不採用,train ROIがOLDより悪い
改善案C:実データ詳細のみ,PRESET_C,418,265,153,-48.38,-63.73,-54.00,6.66,train非優位,不採用,train ROIがOLDより悪い
